Series	Platforms	Reason
GSE54248	_	private and is scheduled to be released on Aug 31, 2018
GSE11488	GPL520	
GSE7571	GPL887	
GSE52771	GPL7202	
GSE23396	GPL570	
GSE23396	GPL1261	
GSE37937	GPL15558	
GSE47826	_	was deleted by the GEO staff on Sep 01, 2017
GSE34127	GPL10558	
GSE59955	GPL9207	
GSE95063	_	private and is scheduled to be released on Oct 30, 2018
GSE26347	GPL570	
GSE26347	GPL3921	
GSE5349	GPL1355	
GSE8317	GPL5447	
GSE40006	GPL6883	
GSE40006	GPL10558	
GSE30040	GPL10739	
GSE14785	GPL7791	
GSE59111	GPL6884	
GSE5561	GPL4048	
GSE5561	GPL4049	
GSE58829	GPL16570	
GSE45927	GPL10558	
GSE47825	_	 was deleted by the GEO staff on Sep 01, 2017
GSE72428	GPL18756	
GSE39967	GPL6883	
GSE54001	GPL6947	
GSE38795	GPL10558	
GSE11050	GPL570	
GSE11050	GPL1261	
GSE11050	GPL1355	
GSE11981	GPL570	
GSE11981	GPL1261	
GSE43428	_	currently private and is scheduled to be released on Dec 31, 2018
GSE33663	GPL4134	
GSE7415	GPL5051	
GSE5790	GPL570	
GSE98139	_	private and is scheduled to be released on Nov 11, 2020
GSE5991	GPL4384	
GSE12837	GPL96	
GSE14792	GPL7791	
GSE98722	_	was deleted by the GEO staff on Jul 31, 2017
GSE6599	GPL571	
GSE54249	_	currently private and is scheduled to be released on Aug 31, 2018
GSE34464	GPL6947	
GSE5795	GPL339	
GSE50869	GPL4134	
GSE4177	GPL3395	
GSE41329	GPL570	
GSE2393	GPL8300	
GSE16842	GPL7791	
GSE59474	GPL96	
GSE59474	GPL339	
GSE46367	GPL14797	
GSE29097	GPL1261	
GSE29818	GPL13658	
GSE14552	GPL2986	
GSE14552	GPL2995	
GSE27491	GPL8878	not rat, mouse, human ?
GSE27491	GPL13210	not rat, mouse, human ?
GSE16171	GPL8300	
GSE40878	GPL2507	
GSE40328	GPL9692	
GSE48311	GPL570	
GSE97039	_	was deleted by the GEO staff on Sep 14, 2017
GSE67922	GPL6244	
GSE11027	GPL6648	
GSE78741	_	was deleted by the GEO staff on Sep 01, 2017
GSE1935	GPL96	
GSE41752	GPL4133	
GSE428	GPL8300	
GSE79945	_	was deleted by the GEO staff on Nov 09, 2017
GSE10759	GPL6398	
GSE35397	GPL8300	
GSE57642	GPL1261	
GSE57642	GPL6246	
GSE11156	GPL4335	
GSE2377	GPL8300	
GSE44411	GPL4135	
GSE101745	GPL18460	
GSE81261	_	currently private and is scheduled to be released on Aug 23, 2018
GSE43461	_	currently private and is scheduled to be released on Dec 31, 2018
GSE60009	GPL10558	
GSE69936	GPL570	
GSE11029	GPL6648	
GSE2718	GPL2000	
GSE23538	GPL10765	
GSE60219	_	currently private and is scheduled to be released on Sep 30, 2018
GSE8085	GPL5355	
GSE8150	GPL1261	
GSE1638	GPL96	
GSE8075	GPL4052	
GSE8075	GPL5352	
GSE64200	GPL6246	
GSE64200	GPL13112	
GSE907	GPL96	
GSE907	GPL97	
GSE51495	GPL6104	
GSE11028	GPL6648	
GSE39968	GPL10558	
GSE57056	GPL16699	
GSE33687	GPL570	
GSE58287	GPL10332	
GSE51042	GPL17745	
GSE20036	GPL570	
GSE1637	GPL876	
GSE98535	_	currently private and is scheduled to be released on Nov 01, 2018
GSE2785	GPL2011	
GSE22160	GPL570	
GSE26326	GPL2895	
GSE8490	GPL5572	
GSE37187	GPL2895	
GSE11099	GPL6648	
GSE92550	_	currently private and is scheduled to be released on Aug 28, 2020
GSE6519	GPL570	
GSE23590	GPL571	
GSE23327	GPL1708	
GSE4245	GPL3446	
GSE10120	GPL3566	
GSE6708	GPL96	
GSE32590	GPL570	
GSE4151	GPL1998	
GSE1854	GPL350	
GSE1854	GPL351	
GSE6051	GPL4384	
GSE14783	GPL7791	
GSE33090	GPL10558	
GSE69603	GPL571	
GSE87058	_	currently private and is scheduled to be released on Sep 20, 2018
GSE6050	GPL4384	
GSE35628	GPL10558	
GSE6814	GPL96	
GSE27850	GPL570	
GSE5456	GPL4049	
GSE14784	GPL7791	
GSE50005	GPL10558	
GSE512	GPL80	
GSE9338	GPL1261	
GSE1464	GPL1282	
GSE1464	GPL1283	
GSE1464	GPL1709	
GSE21779	GPL570	
GSE6052	GPL4384	
GSE2165	GPL96	
GSE54250	_	currently private and is scheduled to be released on Aug 31, 2018
GSE429	GPL8300	
GSE8020	GPL2700	
GSE50116	GPL16025	
GSE8585	GPL5653 	
GSE67810	GPL6244	
GSE29138	GPL6244	
GSE65020	GPL1261	
GSE61417	GPL7202	
GSE42232	GPL10558	
GSE566	GPL368	
GSE8859	GPL570	
GSE8859	GPL3535	not rat, mouse, human ?
GSE24943	GPL9700	
GSE3763	GPL3236	
GSE18627	GPL9451	
GSE87038	_	currently private and is scheduled to be released on Sep 29, 2018
GSE90171	_	currently private and is scheduled to be released on Feb 28, 2018
GSE12949	GPL570	
GSE12254	GPL570	
GSE43427	_	currently private and is scheduled to be released on Dec 31, 2018
GSE8485	GPL1355	
GSE57057	GPL14797	
GSE16936	GPL8793	
GSE16936	GPL8794	
GSE9531	GPL570	
GSE9531	GPL3535	not rat, mouse, human ?
GSE31177	GPL570	
GSE30589	GPL570	
GSE37186	GPL2895	
GSE59286	_	currently private and is scheduled to be released on Oct 10, 2018
GSE99511	GPL13534	
GSE8749	GPL201	
GSE2853	GPL8300	
GSE13437	GPL7474	
GSE34129	GPL10558	
GSE34129	GPL14954	not rat, mouse, human ?
GSE51521	_	currently private and is scheduled to be released on Sep 14, 2018
GSE11030	GPL6648	
GSE7572	GPL887 	
GSE47824	_	was deleted by the GEO staff on Sep 01, 2017
GSE1640	GPL1386	
GSE3426	GPL2900	
GSE3426	GPL2917	
GSE3426	GPL2918	
GSE3426	GPL2921	
GSE15891	GPL1261	
GSE13622	GPL7641	
GSE13622	GPL9377	not rat, mouse, human ?
GSE13622	GPL9423	not rat, mouse, human ?
